energy_type,country,year,consommation
Solid fossil fuels,Finland,2011,211.878
Solid fossil fuels,Finland,2012,105.72
Solid fossil fuels,Finland,2013,106.947
Solid fossil fuels,Finland,2014,106.166
Solid fossil fuels,Finland,2015,111.024
Solid fossil fuels,Finland,2016,139.521
Solid fossil fuels,Finland,2017,136.352
Solid fossil fuels,Finland,2018,128.138
Solid fossil fuels,Finland,2019,121.362
Solid fossil fuels,Finland,2020,105.715
Solid fossil fuels,Finland,2021,117.721
Solid fossil fuels,Finland,2022,108.714
Solid fossil fuels,France,2011,1220.083
Solid fossil fuels,France,2012,1331.617
Solid fossil fuels,France,2013,1145.033
Solid fossil fuels,France,2014,1051.48
Solid fossil fuels,France,2015,1111.499
Solid fossil fuels,France,2016,1077.938
Solid fossil fuels,France,2017,1124.436
Solid fossil fuels,France,2018,1159.47
Solid fossil fuels,France,2019,950.297
Solid fossil fuels,France,2020,837.606
Solid fossil fuels,France,2021,969.238
Solid fossil fuels,France,2022,696.773
Solid fossil fuels,Georgia,2013,314.392
Solid fossil fuels,Georgia,2014,290.462
Solid fossil fuels,Georgia,2015,271.769
Solid fossil fuels,Georgia,2016,250.28
Solid fossil fuels,Georgia,2017,276.057
Solid fossil fuels,Georgia,2018,293.7
Solid fossil fuels,Georgia,2019,241.024
Solid fossil fuels,Georgia,2020,212.848
Solid fossil fuels,Georgia,2021,224.128
Solid fossil fuels,Georgia,2022,235.423
Solid fossil fuels,Croatia,2011,144.565
Solid fossil fuels,Croatia,2012,129.953
Solid fossil fuels,Croatia,2013,115.977
Solid fossil fuels,Croatia,2014,102.456
Solid fossil fuels,Croatia,2015,81.112
Solid fossil fuels,Croatia,2016,67.068
Solid fossil fuels,Croatia,2017,76.171
Solid fossil fuels,Croatia,2018,68.846
Solid fossil fuels,Croatia,2019,82.715
Solid fossil fuels,Croatia,2020,104.972
Solid fossil fuels,Croatia,2021,108.871
Solid fossil fuels,Croatia,2022,80.597
Solid fossil fuels,Hungary,2011,261.659
Solid fossil fuels,Hungary,2012,228.958
Solid fossil fuels,Hungary,2013,184.615
Solid fossil fuels,Hungary,2014,161.659
Solid fossil fuels,Hungary,2015,175.751
Solid fossil fuels,Hungary,2016,200.345
Solid fossil fuels,Hungary,2017,289.962
Solid fossil fuels,Hungary,2018,226.412
Solid fossil fuels,Hungary,2019,184.799
Solid fossil fuels,Hungary,2020,156.907
Solid fossil fuels,Hungary,2021,122.482
Solid fossil fuels,Hungary,2022,121.891
Solid fossil fuels,Ireland,2011,309.131
Solid fossil fuels,Ireland,2012,322.364
Solid fossil fuels,Ireland,2013,326.918
Solid fossil fuels,Ireland,2014,324.821
Solid fossil fuels,Ireland,2015,339.755
Solid fossil fuels,Ireland,2016,349.216
Solid fossil fuels,Ireland,2017,280.621
Solid fossil fuels,Ireland,2018,297.726
Solid fossil fuels,Ireland,2019,245.239
Solid fossil fuels,Ireland,2020,249.555
Solid fossil fuels,Ireland,2021,245.06
Solid fossil fuels,Ireland,2022,170.667
Solid fossil fuels,Iceland,2011,90.73
Solid fossil fuels,Iceland,2012,92.641
Solid fossil fuels,Iceland,2013,97.595
Solid fossil fuels,Iceland,2014,86.743
Solid fossil fuels,Iceland,2015,93.004
Solid fossil fuels,Iceland,2016,0
Solid fossil fuels,Iceland,2017,0
Solid fossil fuels,Iceland,2018,0
Solid fossil fuels,Iceland,2019,0
Solid fossil fuels,Iceland,2020,0
Solid fossil fuels,Iceland,2021,0
Solid fossil fuels,Italy,2011,990.027
Solid fossil fuels,Italy,2012,953.183
Solid fossil fuels,Italy,2013,704.387
Solid fossil fuels,Italy,2014,739.881
Solid fossil fuels,Italy,2015,539.45
Solid fossil fuels,Italy,2016,688.034
Solid fossil fuels,Italy,2017,489.273
Solid fossil fuels,Italy,2018,623.279
Solid fossil fuels,Italy,2019,595.062
Solid fossil fuels,Italy,2020,409.362
Solid fossil fuels,Italy,2021,302.273
Solid fossil fuels,Italy,2022,306.2
Solid fossil fuels,Lithuania,2011,207.041
Solid fossil fuels,Lithuania,2012,197.283
Solid fossil fuels,Lithuania,2013,224.724
Solid fossil fuels,Lithuania,2014,194.134
Solid fossil fuels,Lithuania,2015,157.893
Solid fossil fuels,Lithuania,2016,157.535
Solid fossil fuels,Lithuania,2017,161.589
Solid fossil fuels,Lithuania,2018,171.232
Solid fossil fuels,Lithuania,2019,167.507
Solid fossil fuels,Lithuania,2020,133.271
Solid fossil fuels,Lithuania,2021,158.672
Solid fossil fuels,Lithuania,2022,156.034
Solid fossil fuels,Luxembourg,2011,59.128
Solid fossil fuels,Luxembourg,2012,54.825
Solid fossil fuels,Luxembourg,2013,52.562
Solid fossil fuels,Luxembourg,2014,52.087
Solid fossil fuels,Luxembourg,2015,49.215
Solid fossil fuels,Luxembourg,2016,50.93
Solid fossil fuels,Luxembourg,2017,47.116
Solid fossil fuels,Luxembourg,2018,41.76
Solid fossil fuels,Luxembourg,2019,45.758
Solid fossil fuels,Luxembourg,2020,38.442
Solid fossil fuels,Luxembourg,2021,39.427
Solid fossil fuels,Luxembourg,2022,41.073
Solid fossil fuels,Latvia,2011,97.11
Solid fossil fuels,Latvia,2012,77.198
Solid fossil fuels,Latvia,2013,58.827
Solid fossil fuels,Latvia,2014,53.093
Solid fossil fuels,Latvia,2015,42.26
Solid fossil fuels,Latvia,2016,35.214
Solid fossil fuels,Latvia,2017,36.698
Solid fossil fuels,Latvia,2018,41.554
Solid fossil fuels,Latvia,2019,35.78
Solid fossil fuels,Latvia,2020,21.583
Solid fossil fuels,Latvia,2021,15.403
Solid fossil fuels,Latvia,2022,10.502
Solid fossil fuels,Moldova,2011,117.187
Solid fossil fuels,Moldova,2012,106.812
Solid fossil fuels,Moldova,2013,138.273
Solid fossil fuels,Moldova,2014,90.357
Solid fossil fuels,Moldova,2015,95.301
Solid fossil fuels,Moldova,2016,69.414
Solid fossil fuels,Moldova,2017,99.082
Solid fossil fuels,Moldova,2018,81.524
Solid fossil fuels,Moldova,2019,101.553
Solid fossil fuels,Moldova,2020,77.408
Solid fossil fuels,Moldova,2021,91.228
Solid fossil fuels,Moldova,2022,61.948
Solid fossil fuels,Montenegro,2011,6.379
Solid fossil fuels,Montenegro,2012,8.139
Solid fossil fuels,Montenegro,2013,5.279
Solid fossil fuels,Montenegro,2014,7.259
Solid fossil fuels,Montenegro,2015,11.439
Solid fossil fuels,Montenegro,2016,12.459
Solid fossil fuels,Montenegro,2017,9.654
Solid fossil fuels,Montenegro,2018,6.572
Solid fossil fuels,Montenegro,2019,7.546
Solid fossil fuels,Montenegro,2020,6.392
Solid fossil fuels,Montenegro,2021,8.717
Solid fossil fuels,Montenegro,2022,5.501
Solid fossil fuels,North Macedonia,2011,154.623
Solid fossil fuels,North Macedonia,2012,145.585
Solid fossil fuels,North Macedonia,2013,123.712
Solid fossil fuels,North Macedonia,2014,102.446
Solid fossil fuels,North Macedonia,2015,101.101
Solid fossil fuels,North Macedonia,2016,128.18
Solid fossil fuels,North Macedonia,2017,97.979
Solid fossil fuels,North Macedonia,2018,112.79
Solid fossil fuels,North Macedonia,2019,127.395
Solid fossil fuels,North Macedonia,2020,70.5
Solid fossil fuels,North Macedonia,2021,92.082
Solid fossil fuels,North Macedonia,2022,33.952
Solid fossil fuels,Malta,2011,0
Solid fossil fuels,Malta,2012,0
Solid fossil fuels,Malta,2013,0
Solid fossil fuels,Malta,2014,0
Solid fossil fuels,Malta,2015,0
Solid fossil fuels,Malta,2016,0
Solid fossil fuels,Malta,2017,0
Solid fossil fuels,Malta,2018,0
Solid fossil fuels,Malta,2019,0
Solid fossil fuels,Malta,2020,0
Solid fossil fuels,Malta,2021,0
Solid fossil fuels,Malta,2022,0
Solid fossil fuels,Netherlands,2011,105.907
Solid fossil fuels,Netherlands,2012,109.883
Solid fossil fuels,Netherlands,2013,81.826
Solid fossil fuels,Netherlands,2014,81.712
Solid fossil fuels,Netherlands,2015,191.26
Solid fossil fuels,Netherlands,2016,237.45
Solid fossil fuels,Netherlands,2017,253.151
Solid fossil fuels,Netherlands,2018,235.154
Solid fossil fuels,Netherlands,2019,213.048
Solid fossil fuels,Netherlands,2020,171.457
Solid fossil fuels,Netherlands,2021,142.19
Solid fossil fuels,Netherlands,2022,119.443
Solid fossil fuels,Norway,2011,444.454
Solid fossil fuels,Norway,2012,474.138
Solid fossil fuels,Norway,2013,470.495
Solid fossil fuels,Norway,2014,465.914
Solid fossil fuels,Norway,2015,464.954
Solid fossil fuels,Norway,2016,521.233
Solid fossil fuels,Norway,2017,498.799
Solid fossil fuels,Norway,2018,462.767
Solid fossil fuels,Norway,2019,490.793
Solid fossil fuels,Norway,2020,520.305
Solid fossil fuels,Norway,2021,555.063
Solid fossil fuels,Norway,2022,496.191
Solid fossil fuels,Poland,2011,12117.433
Solid fossil fuels,Poland,2012,12367.319
Solid fossil fuels,Poland,2013,11914.244
Solid fossil fuels,Poland,2014,11146.265
Solid fossil fuels,Poland,2015,10730.714
Solid fossil fuels,Poland,2016,11095.594
Solid fossil fuels,Poland,2017,11253.919
Solid fossil fuels,Poland,2018,10672.907
Solid fossil fuels,Poland,2019,9002.654
Solid fossil fuels,Poland,2020,8955.367
Solid fossil fuels,Poland,2021,8687.509
Solid fossil fuels,Poland,2022,7265.676
Solid fossil fuels,Portugal,2011,20.226
Solid fossil fuels,Portugal,2012,20.008
Solid fossil fuels,Portugal,2013,18.469
Solid fossil fuels,Portugal,2014,13.904
Solid fossil fuels,Portugal,2015,12.968
Solid fossil fuels,Portugal,2016,12.716
Solid fossil fuels,Portugal,2017,11
Solid fossil fuels,Portugal,2018,10.15
Solid fossil fuels,Portugal,2019,10.798
Solid fossil fuels,Portugal,2020,9.695
Solid fossil fuels,Portugal,2021,9.98
Solid fossil fuels,Portugal,2022,6.789
Solid fossil fuels,Romania,2011,789.044
Solid fossil fuels,Romania,2012,766.15
Solid fossil fuels,Romania,2013,689.477
Solid fossil fuels,Romania,2014,668.366
Solid fossil fuels,Romania,2015,776.919
Solid fossil fuels,Romania,2016,729.221
Solid fossil fuels,Romania,2017,627.773
Solid fossil fuels,Romania,2018,617.168
Solid fossil fuels,Romania,2019,659.747
Solid fossil fuels,Romania,2020,602.766
Solid fossil fuels,Romania,2021,734.04
Solid fossil fuels,Romania,2022,554.256
Solid fossil fuels,Serbia,2011,976.689
Solid fossil fuels,Serbia,2012,677.03
Solid fossil fuels,Serbia,2013,505.111
Solid fossil fuels,Serbia,2014,449.229
Solid fossil fuels,Serbia,2015,500.344
Solid fossil fuels,Serbia,2016,635.233
Solid fossil fuels,Serbia,2017,534.002
Solid fossil fuels,Serbia,2018,511.988
Solid fossil fuels,Serbia,2019,422.455
Solid fossil fuels,Serbia,2020,517.684
Solid fossil fuels,Serbia,2021,306.426
Solid fossil fuels,Serbia,2022,267.364
Solid fossil fuels,Sweden,2011,415.919
Solid fossil fuels,Sweden,2012,402.126
Solid fossil fuels,Sweden,2013,369.087
Solid fossil fuels,Sweden,2014,368.737
Solid fossil fuels,Sweden,2015,390.695
Solid fossil fuels,Sweden,2016,372.265
Solid fossil fuels,Sweden,2017,374.306
Solid fossil fuels,Sweden,2018,370.807
Solid fossil fuels,Sweden,2019,345.087
Solid fossil fuels,Sweden,2020,292.539
Solid fossil fuels,Sweden,2021,320.038
Solid fossil fuels,Sweden,2022,333.48
Solid fossil fuels,Slovenia,2011,53.849
Solid fossil fuels,Slovenia,2012,51.245
Solid fossil fuels,Slovenia,2013,47.923
Solid fossil fuels,Slovenia,2014,45.521
Solid fossil fuels,Slovenia,2015,39.3
Solid fossil fuels,Slovenia,2016,36.269
Solid fossil fuels,Slovenia,2017,38.568
Solid fossil fuels,Slovenia,2018,41.108
Solid fossil fuels,Slovenia,2019,39.966
Solid fossil fuels,Slovenia,2020,28.349
Solid fossil fuels,Slovenia,2021,21.088
Solid fossil fuels,Slovenia,2022,27.574
Solid fossil fuels,Slovakia,2011,723.085
Solid fossil fuels,Slovakia,2012,490.461
Solid fossil fuels,Slovakia,2013,510.866
Solid fossil fuels,Slovakia,2014,448.159
Solid fossil fuels,Slovakia,2015,440.572
Solid fossil fuels,Slovakia,2016,371.568
Solid fossil fuels,Slovakia,2017,405.653
Solid fossil fuels,Slovakia,2018,424.979
Solid fossil fuels,Slovakia,2019,431.203
Solid fossil fuels,Slovakia,2020,356.574
Solid fossil fuels,Slovakia,2021,397.092
Solid fossil fuels,Slovakia,2022,305.257
Solid fossil fuels,Türkiye,2011,13105.748
Solid fossil fuels,Türkiye,2012,13623.236
Solid fossil fuels,Türkiye,2013,10636.487
Solid fossil fuels,Türkiye,2014,10759.764
Solid fossil fuels,Türkiye,2015,11403.943
Solid fossil fuels,Türkiye,2016,11949.203
Solid fossil fuels,Türkiye,2017,11793.866
Solid fossil fuels,Türkiye,2018,9659.516
Solid fossil fuels,Türkiye,2019,10031.284
Solid fossil fuels,Türkiye,2020,11466.99
Solid fossil fuels,Türkiye,2021,12279.149
Solid fossil fuels,Türkiye,2022,8472.836
Solid fossil fuels,Ukraine,2011,4962.836
Solid fossil fuels,Ukraine,2012,5086.933
Solid fossil fuels,Ukraine,2013,5230.78
Solid fossil fuels,Ukraine,2014,6063.501
Solid fossil fuels,Ukraine,2015,3701.296
Solid fossil fuels,Ukraine,2016,3480.367
Solid fossil fuels,Ukraine,2017,2871.151
Solid fossil fuels,Ukraine,2018,3973.636
Solid fossil fuels,Ukraine,2019,3886.622
Solid fossil fuels,Ukraine,2020,3700.86
Solid fossil fuels,United Kingdom,2011,2168.238
Solid fossil fuels,United Kingdom,2012,2210.076
Solid fossil fuels,United Kingdom,2013,2687.953
Solid fossil fuels,United Kingdom,2014,2629.935
Solid fossil fuels,United Kingdom,2015,2296.883
Solid fossil fuels,United Kingdom,2016,2042.868
Solid fossil fuels,United Kingdom,2017,1871.281
Solid fossil fuels,United Kingdom,2018,1704.194
Solid fossil fuels,United Kingdom,2019,1565.081
Solid fossil fuels,Kosovo*,2011,82.55
Solid fossil fuels,Kosovo*,2012,69.688
Solid fossil fuels,Kosovo*,2013,56.58
Solid fossil fuels,Kosovo*,2014,61.014
Solid fossil fuels,Kosovo*,2015,47.825
Solid fossil fuels,Kosovo*,2016,99.654
Solid fossil fuels,Kosovo*,2017,87.174
Solid fossil fuels,Kosovo*,2018,18.092
Solid fossil fuels,Kosovo*,2019,20.531
Solid fossil fuels,Kosovo*,2020,27.462
Solid fossil fuels,Kosovo*,2021,33.604
Solid fossil fuels,Kosovo*,2022,29.707
Manufactured gases,Albania,2011,0
Manufactured gases,Albania,2012,0
Manufactured gases,Albania,2013,0
Manufactured gases,Albania,2014,0
Manufactured gases,Albania,2015,0
Manufactured gases,Albania,2016,0
Manufactured gases,Albania,2017,0
Manufactured gases,Albania,2018,0
Manufactured gases,Albania,2019,0
Manufactured gases,Albania,2020,0
Manufactured gases,Albania,2021,0
Manufactured gases,Albania,2022,0
Manufactured gases,Austria,2011,96.831
Manufactured gases,Austria,2012,90.258
Manufactured gases,Austria,2013,95.452
Manufactured gases,Austria,2014,82.777
Manufactured gases,Austria,2015,80.561
Manufactured gases,Austria,2016,99.954
Manufactured gases,Austria,2017,104.806
Manufactured gases,Austria,2018,88.126
Manufactured gases,Austria,2019,95.87
Manufactured gases,Austria,2020,81.312
Manufactured gases,Austria,2021,111.897
Manufactured gases,Austria,2022,98.945
Manufactured gases,Bosnia and Herzegovina,2014,104.352
Manufactured gases,Bosnia and Herzegovina,2015,105.379
Manufactured gases,Bosnia and Herzegovina,2016,104.615
Manufactured gases,Bosnia and Herzegovina,2017,100.244
Manufactured gases,Bosnia and Herzegovina,2018,110.215
Manufactured gases,Bosnia and Herzegovina,2019,121.393
Manufactured gases,Bosnia and Herzegovina,2020,52.381
Manufactured gases,Bosnia and Herzegovina,2021,42.665
Manufactured gases,Bosnia and Herzegovina,2022,41.062
Manufactured gases,Belgium,2011,232.731
Manufactured gases,Belgium,2012,209.198
Manufactured gases,Belgium,2013,207.366
Manufactured gases,Belgium,2014,181.463
Manufactured gases,Belgium,2015,162.296
Manufactured gases,Belgium,2016,163.392
Manufactured gases,Belgium,2017,171.581
Manufactured gases,Belgium,2018,173.145
Manufactured gases,Belgium,2019,153.077
Manufactured gases,Belgium,2020,141.229
Manufactured gases,Belgium,2021,180.261
Manufactured gases,Belgium,2022,151.137
Manufactured gases,Bulgaria,2011,0
Manufactured gases,Bulgaria,2012,0
Manufactured gases,Bulgaria,2013,0
Manufactured gases,Bulgaria,2014,0
Manufactured gases,Bulgaria,2015,0
Manufactured gases,Bulgaria,2016,0
Manufactured gases,Bulgaria,2017,0
Manufactured gases,Bulgaria,2018,0
Manufactured gases,Bulgaria,2019,0
Manufactured gases,Bulgaria,2020,0
Manufactured gases,Bulgaria,2021,0
Manufactured gases,Bulgaria,2022,0
Manufactured gases,Cyprus,2011,0
Manufactured gases,Cyprus,2012,0
Manufactured gases,Cyprus,2013,0
Manufactured gases,Cyprus,2014,0
Manufactured gases,Cyprus,2015,0
Manufactured gases,Cyprus,2016,0
Manufactured gases,Cyprus,2017,0
Manufactured gases,Cyprus,2018,0
Manufactured gases,Cyprus,2019,0
Manufactured gases,Cyprus,2020,0
Manufactured gases,Cyprus,2021,0
Manufactured gases,Cyprus,2022,0
Manufactured gases,Czechia,2011,340.969
Manufactured gases,Czechia,2012,330.768
Manufactured gases,Czechia,2013,312.893
Manufactured gases,Czechia,2014,323.565
Manufactured gases,Czechia,2015,311.3
Manufactured gases,Czechia,2016,303.92
Manufactured gases,Czechia,2017,279.425
Manufactured gases,Czechia,2018,321.646
Manufactured gases,Czechia,2019,266.195
Manufactured gases,Czechia,2020,265.89
Manufactured gases,Czechia,2021,314.36
Manufactured gases,Czechia,2022,268.324
Manufactured gases,Germany,2011,2565.234
Manufactured gases,Germany,2012,2526.02
Manufactured gases,Germany,2013,2347.516
Manufactured gases,Germany,2014,2333.453
Manufactured gases,Germany,2015,2462.038
Manufactured gases,Germany,2016,2234.898
Manufactured gases,Germany,2017,2194.76
Manufactured gases,Germany,2018,2494.077
Manufactured gases,Germany,2019,2316.624
Manufactured gases,Germany,2020,2141.267
Manufactured gases,Germany,2021,2124.961
Manufactured gases,Germany,2022,2132.207
Manufactured gases,Denmark,2011,0
Manufactured gases,Denmark,2012,0
Manufactured gases,Denmark,2013,0
Manufactured gases,Denmark,2014,0
Manufactured gases,Denmark,2015,0
Manufactured gases,Denmark,2016,0
Manufactured gases,Denmark,2017,0
Manufactured gases,Denmark,2018,0
Manufactured gases,Denmark,2019,0
Manufactured gases,Denmark,2020,0
Manufactured gases,Denmark,2021,0
Manufactured gases,Denmark,2022,0
Manufactured gases,Estonia,2011,0
Manufactured gases,Estonia,2012,0.175
Manufactured gases,Estonia,2013,0
Manufactured gases,Estonia,2014,0
Manufactured gases,Estonia,2015,0
Manufactured gases,Estonia,2016,0
Manufactured gases,Estonia,2017,0
Manufactured gases,Estonia,2018,0
Manufactured gases,Estonia,2019,0
Manufactured gases,Estonia,2020,0
Manufactured gases,Estonia,2021,0
Manufactured gases,Estonia,2022,0
Manufactured gases,Greece,2011,0
Manufactured gases,Greece,2012,0
Manufactured gases,Greece,2013,0
Manufactured gases,Greece,2014,0
Manufactured gases,Greece,2015,0
Manufactured gases,Greece,2016,0
Manufactured gases,Greece,2017,0
Manufactured gases,Greece,2018,0
Manufactured gases,Greece,2019,0
Manufactured gases,Greece,2020,0
Manufactured gases,Greece,2021,0
Manufactured gases,Greece,2022,0
Manufactured gases,Spain,2011,155.276
Manufactured gases,Spain,2012,124.783
Manufactured gases,Spain,2013,118.425
Manufactured gases,Spain,2014,75.915
Manufactured gases,Spain,2015,79.904
Manufactured gases,Spain,2016,96.126
Manufactured gases,Spain,2017,94.492
Manufactured gases,Spain,2018,82.294
Manufactured gases,Spain,2019,72.953
Manufactured gases,Spain,2020,51.887
Manufactured gases,Spain,2021,90.152
Manufactured gases,Spain,2022,112.301
Manufactured gases,Finland,2011,134.293
Manufactured gases,Finland,2012,118.778
Manufactured gases,Finland,2013,117.068
Manufactured gases,Finland,2014,120.529
Manufactured gases,Finland,2015,134.991
Manufactured gases,Finland,2016,144.473
Manufactured gases,Finland,2017,122.148
Manufactured gases,Finland,2018,139.505
Manufactured gases,Finland,2019,137.315
Manufactured gases,Finland,2020,126.763
Manufactured gases,Finland,2021,143.625
Manufactured gases,Finland,2022,125.521
Manufactured gases,France,2011,0
Manufactured gases,France,2012,0.191
Manufactured gases,France,2013,0
Manufactured gases,France,2014,0
Manufactured gases,France,2015,0
Manufactured gases,France,2016,0
Manufactured gases,France,2017,0
Manufactured gases,France,2018,0
Manufactured gases,France,2019,0
Manufactured gases,France,2020,0
Manufactured gases,France,2021,0
Manufactured gases,France,2022,0
Manufactured gases,Georgia,2013,0
Manufactured gases,Georgia,2014,0
Manufactured gases,Georgia,2015,0
Manufactured gases,Georgia,2016,0
Manufactured gases,Georgia,2017,0
Manufactured gases,Georgia,2018,0
Manufactured gases,Georgia,2019,0
Manufactured gases,Georgia,2020,0
Manufactured gases,Georgia,2021,0
Manufactured gases,Georgia,2022,0
Manufactured gases,Croatia,2011,3.074
Manufactured gases,Croatia,2012,2.3
Manufactured gases,Croatia,2013,1.591
Manufactured gases,Croatia,2014,0.903
Manufactured gases,Croatia,2015,0.236
Manufactured gases,Croatia,2016,0
Manufactured gases,Croatia,2017,0
Manufactured gases,Croatia,2018,0
Manufactured gases,Croatia,2019,0
