country,year,energy_type,production
Czechia,2022,Solid fossil fuels,13431.384
Germany,2011,Solid fossil fuels,77965.871
Germany,2012,Solid fossil fuels,79918.633
Germany,2013,Solid fossil fuels,81561.127
Germany,2014,Solid fossil fuels,79604.753
Germany,2015,Solid fossil fuels,79414.733
Germany,2016,Solid fossil fuels,77130.836
Germany,2017,Solid fossil fuels,71308.498
Germany,2018,Solid fossil fuels,69738.493
Germany,2019,Solid fossil fuels,56465.035
Germany,2020,Solid fossil fuels,44655.002
Germany,2021,Solid fossil fuels,53915.451
Germany,2022,Solid fossil fuels,55497.160
Denmark,2011,Solid fossil fuels,3234.475
Denmark,2012,Solid fossil fuels,2467.764
Denmark,2013,Solid fossil fuels,3173.545
Denmark,2014,Solid fossil fuels,2533.670
Denmark,2015,Solid fossil fuels,1817.650
Denmark,2016,Solid fossil fuels,2004.774
Denmark,2017,Solid fossil fuels,1535.847
Denmark,2018,Solid fossil fuels,1592.478
Denmark,2019,Solid fossil fuels,968.926
Denmark,2020,Solid fossil fuels,819.714
Denmark,2021,Solid fossil fuels,1120.017
Denmark,2022,Solid fossil fuels,1075.486
Estonia,2011,Solid fossil fuels,29.079
Estonia,2012,Solid fossil fuels,24.464
Estonia,2013,Solid fossil fuels,27.993
Estonia,2014,Solid fossil fuels,33.582
Estonia,2015,Solid fossil fuels,13.360
Estonia,2016,Solid fossil fuels,8.659
Estonia,2017,Solid fossil fuels,12.289
Estonia,2018,Solid fossil fuels,16.743
Estonia,2019,Solid fossil fuels,14.129
Estonia,2020,Solid fossil fuels,-2.726
Estonia,2021,Solid fossil fuels,-8.983
Estonia,2022,Solid fossil fuels,-4.544
Greece,2011,Solid fossil fuels,7886.860
Greece,2012,Solid fossil fuels,8134.842
Greece,2013,Solid fossil fuels,6981.004
Greece,2014,Solid fossil fuels,6687.083
Greece,2015,Solid fossil fuels,5606.374
Greece,2016,Solid fossil fuels,4369.484
Greece,2017,Solid fossil fuels,4816.635
Greece,2018,Solid fossil fuels,4564.069
Greece,2019,Solid fossil fuels,3196.088
Greece,2020,Solid fossil fuels,1830.920
Greece,2021,Solid fossil fuels,1710.922
Greece,2022,Solid fossil fuels,1562.470
Spain,2011,Solid fossil fuels,12716.137
Spain,2012,Solid fossil fuels,15518.743
Spain,2013,Solid fossil fuels,11447.726
Spain,2014,Solid fossil fuels,11568.180
Spain,2015,Solid fossil fuels,13583.196
Spain,2016,Solid fossil fuels,10836.007
Spain,2017,Solid fossil fuels,12907.895
Spain,2018,Solid fossil fuels,11521.899
Spain,2019,Solid fossil fuels,5071.746
Spain,2020,Solid fossil fuels,3099.844
Spain,2021,Solid fossil fuels,3096.851
Spain,2022,Solid fossil fuels,3592.723
Finland,2011,Solid fossil fuels,3948.281
Finland,2012,Solid fossil fuels,2994.989
Finland,2013,Solid fossil fuels,3787.802
Finland,2014,Solid fossil fuels,3070.626
Finland,2015,Solid fossil fuels,2735.524
Finland,2016,Solid fossil fuels,2956.109
Finland,2017,Solid fossil fuels,2836.165
Finland,2018,Solid fossil fuels,2735.441
Finland,2019,Solid fossil fuels,2128.570
Finland,2020,Solid fossil fuels,1838.623
Finland,2021,Solid fossil fuels,2079.265
Finland,2022,Solid fossil fuels,2152.994
France,2011,Solid fossil fuels,11279.263
France,2012,Solid fossil fuels,12526.685
France,2013,Solid fossil fuels,13244.766
France,2014,Solid fossil fuels,9845.648
France,2015,Solid fossil fuels,9326.745
France,2016,Solid fossil fuels,9111.639
France,2017,Solid fossil fuels,9921.502
France,2018,Solid fossil fuels,9132.124
France,2019,Solid fossil fuels,7328.580
France,2020,Solid fossil fuels,5298.894
France,2021,Solid fossil fuels,8461.412
France,2022,Solid fossil fuels,7462.454
Georgia,2013,Solid fossil fuels,315.223
Georgia,2014,Solid fossil fuels,290.868
Georgia,2015,Solid fossil fuels,271.769
Georgia,2016,Solid fossil fuels,261.649
Georgia,2017,Solid fossil fuels,291.568
Georgia,2018,Solid fossil fuels,302.559
Georgia,2019,Solid fossil fuels,241.170
Georgia,2020,Solid fossil fuels,213.048
Georgia,2021,Solid fossil fuels,224.409
Georgia,2022,Solid fossil fuels,235.706
Croatia,2011,Solid fossil fuels,702.845
Croatia,2012,Solid fossil fuels,631.555
Croatia,2013,Solid fossil fuels,674.764
Croatia,2014,Solid fossil fuels,646.754
Croatia,2015,Solid fossil fuels,605.362
Croatia,2016,Solid fossil fuels,651.151
Croatia,2017,Solid fossil fuels,392.335
Croatia,2018,Solid fossil fuels,366.355
Croatia,2019,Solid fossil fuels,418.431
Croatia,2020,Solid fossil fuels,361.191
Croatia,2021,Solid fossil fuels,415.335
Croatia,2022,Solid fossil fuels,406.488
Hungary,2011,Solid fossil fuels,2708.427
Hungary,2012,Solid fossil fuels,2604.277
Hungary,2013,Solid fossil fuels,2265.987
Hungary,2014,Solid fossil fuels,2208.787
Hungary,2015,Solid fossil fuels,2359.386
Hungary,2016,Solid fossil fuels,2189.208
Hungary,2017,Solid fossil fuels,2235.030
Hungary,2018,Solid fossil fuels,2133.421
Hungary,2019,Solid fossil fuels,1829.302
Hungary,2020,Solid fossil fuels,1683.004
Hungary,2021,Solid fossil fuels,1371.900
Hungary,2022,Solid fossil fuels,1239.377
Ireland,2011,Solid fossil fuels,1223.961
Ireland,2012,Solid fossil fuels,1485.587
Ireland,2013,Solid fossil fuels,1307.143
Ireland,2014,Solid fossil fuels,1249.296
Ireland,2015,Solid fossil fuels,1466.073
Ireland,2016,Solid fossil fuels,1449.859
Ireland,2017,Solid fossil fuels,1146.794
Ireland,2018,Solid fossil fuels,788.017
Ireland,2019,Solid fossil fuels,387.583
Ireland,2020,Solid fossil fuels,447.830
Ireland,2021,Solid fossil fuels,915.398
Ireland,2022,Solid fossil fuels,727.254
Iceland,2011,Solid fossil fuels,90.730
Iceland,2012,Solid fossil fuels,92.641
Iceland,2013,Solid fossil fuels,97.595
Iceland,2014,Solid fossil fuels,86.743
Iceland,2015,Solid fossil fuels,93.004
Iceland,2016,Solid fossil fuels,96.872
Iceland,2017,Solid fossil fuels,97.303
Iceland,2018,Solid fossil fuels,112.570
Iceland,2019,Solid fossil fuels,106.207
Iceland,2020,Solid fossil fuels,92.877
Iceland,2021,Solid fossil fuels,128.496
Italy,2011,Solid fossil fuels,15331.374
Italy,2012,Solid fossil fuels,15714.641
Italy,2013,Solid fossil fuels,13536.181
Italy,2014,Solid fossil fuels,13058.829
Italy,2015,Solid fossil fuels,12299.680
Italy,2016,Solid fossil fuels,10983.003
Italy,2017,Solid fossil fuels,9341.797
Italy,2018,Solid fossil fuels,8538.161
Italy,2019,Solid fossil fuels,6480.370
Italy,2020,Solid fossil fuels,5094.549
Italy,2021,Solid fossil fuels,5537.733
Italy,2022,Solid fossil fuels,7410.534
Lithuania,2011,Solid fossil fuels,210.410
Lithuania,2012,Solid fossil fuels,200.168
Lithuania,2013,Solid fossil fuels,227.067
Lithuania,2014,Solid fossil fuels,195.934
Lithuania,2015,Solid fossil fuels,160.293
Lithuania,2016,Solid fossil fuels,159.335
Lithuania,2017,Solid fossil fuels,163.209
Lithuania,2018,Solid fossil fuels,172.912
Lithuania,2019,Solid fossil fuels,169.367
Lithuania,2020,Solid fossil fuels,134.591
Lithuania,2021,Solid fossil fuels,160.112
Lithuania,2022,Solid fossil fuels,157.889
Luxembourg,2011,Solid fossil fuels,59.128
Luxembourg,2012,Solid fossil fuels,54.824
Luxembourg,2013,Solid fossil fuels,52.562
Luxembourg,2014,Solid fossil fuels,52.088
Luxembourg,2015,Solid fossil fuels,49.215
Luxembourg,2016,Solid fossil fuels,50.930
Luxembourg,2017,Solid fossil fuels,47.116
Luxembourg,2018,Solid fossil fuels,41.760
Luxembourg,2019,Solid fossil fuels,45.757
Luxembourg,2020,Solid fossil fuels,38.442
Luxembourg,2021,Solid fossil fuels,39.427
Luxembourg,2022,Solid fossil fuels,41.073
Latvia,2011,Solid fossil fuels,109.635
Latvia,2012,Solid fossil fuels,90.975
Latvia,2013,Solid fossil fuels,70.895
Latvia,2014,Solid fossil fuels,58.864
Latvia,2015,Solid fossil fuels,46.258
Latvia,2016,Solid fossil fuels,40.313
Latvia,2017,Solid fossil fuels,40.385
Latvia,2018,Solid fossil fuels,45.233
Latvia,2019,Solid fossil fuels,39.281
Latvia,2020,Solid fossil fuels,22.966
Latvia,2021,Solid fossil fuels,17.166
Latvia,2022,Solid fossil fuels,11.227
Moldova,2011,Solid fossil fuels,118.986
Moldova,2012,Solid fossil fuels,108.526
Moldova,2013,Solid fossil fuels,146.996
Moldova,2014,Solid fossil fuels,92.673
Moldova,2015,Solid fossil fuels,97.075
Moldova,2016,Solid fossil fuels,71.730
Moldova,2017,Solid fossil fuels,101.397
Moldova,2018,Solid fossil fuels,82.784
Moldova,2019,Solid fossil fuels,101.683
Moldova,2020,Solid fossil fuels,77.531
Moldova,2021,Solid fossil fuels,91.351
Moldova,2022,Solid fossil fuels,62.186
Montenegro,2011,Solid fossil fuels,424.336
Montenegro,2012,Solid fossil fuels,381.000
Montenegro,2013,Solid fossil fuels,367.802
Montenegro,2014,Solid fossil fuels,358.563
Montenegro,2015,Solid fossil fuels,378.361
Montenegro,2016,Solid fossil fuels,308.296
Montenegro,2017,Solid fossil fuels,314.093
Montenegro,2018,Solid fossil fuels,356.401
Montenegro,2019,Solid fossil fuels,368.408
Montenegro,2020,Solid fossil fuels,382.947
Montenegro,2021,Solid fossil fuels,336.020
Montenegro,2022,Solid fossil fuels,356.917
North Macedonia,2011,Solid fossil fuels,1459.780
North Macedonia,2012,Solid fossil fuels,1397.659
North Macedonia,2013,Solid fossil fuels,1162.993
North Macedonia,2014,Solid fossil fuels,1083.575
North Macedonia,2015,Solid fossil fuels,948.274
North Macedonia,2016,Solid fossil fuels,880.256
North Macedonia,2017,Solid fossil fuels,972.347
North Macedonia,2018,Solid fossil fuels,840.246
North Macedonia,2019,Solid fossil fuels,1038.561
North Macedonia,2020,Solid fossil fuels,759.960
North Macedonia,2021,Solid fossil fuels,648.036
North Macedonia,2022,Solid fossil fuels,833.116
Malta,2011,Solid fossil fuels,0.000
Malta,2012,Solid fossil fuels,0.000
Malta,2013,Solid fossil fuels,0.000
Malta,2014,Solid fossil fuels,0.000
Malta,2015,Solid fossil fuels,0.000
Malta,2016,Solid fossil fuels,0.000
Malta,2017,Solid fossil fuels,0.000
Malta,2018,Solid fossil fuels,0.000
Malta,2019,Solid fossil fuels,0.000
Malta,2020,Solid fossil fuels,0.000
Malta,2021,Solid fossil fuels,0.000
Malta,2022,Solid fossil fuels,0.000
Netherlands,2011,Solid fossil fuels,7439.357
Netherlands,2012,Solid fossil fuels,8151.505
Netherlands,2013,Solid fossil fuels,8124.174
Netherlands,2014,Solid fossil fuels,9006.792
Netherlands,2015,Solid fossil fuels,11088.804
Netherlands,2016,Solid fossil fuels,10275.900
Netherlands,2017,Solid fossil fuels,9212.759
Netherlands,2018,Solid fossil fuels,8262.207
Netherlands,2019,Solid fossil fuels,6423.569
Netherlands,2020,Solid fossil fuels,4108.796
Netherlands,2021,Solid fossil fuels,5596.988
Netherlands,2022,Solid fossil fuels,5525.513
Norway,2011,Solid fossil fuels,846.178
Norway,2012,Solid fossil fuels,816.456
Norway,2013,Solid fossil fuels,775.182
Norway,2014,Solid fossil fuels,850.024
Norway,2015,Solid fossil fuels,820.897
Norway,2016,Solid fossil fuels,757.636
Norway,2017,Solid fossil fuels,847.705
Norway,2018,Solid fossil fuels,823.223
Norway,2019,Solid fossil fuels,801.166
Norway,2020,Solid fossil fuels,823.727
Norway,2021,Solid fossil fuels,840.115
Norway,2022,Solid fossil fuels,809.429
Poland,2011,Solid fossil fuels,54638.924
Poland,2012,Solid fossil fuels,50261.754
Poland,2013,Solid fossil fuels,53190.541
Poland,2014,Solid fossil fuels,49272.847
Poland,2015,Solid fossil fuels,48374.764
Poland,2016,Solid fossil fuels,49536.845
Poland,2017,Solid fossil fuels,49671.831
Poland,2018,Solid fossil fuels,49250.079
Poland,2019,Solid fossil fuels,43840.905
Poland,2020,Solid fossil fuels,40914.707
Poland,2021,Solid fossil fuels,45914.005
Poland,2022,Solid fossil fuels,42145.612
Portugal,2011,Solid fossil fuels,2208.385
Portugal,2012,Solid fossil fuels,2934.351
Portugal,2013,Solid fossil fuels,2650.161
Portugal,2014,Solid fossil fuels,2680.395
Portugal,2015,Solid fossil fuels,3258.283
Portugal,2016,Solid fossil fuels,2846.447
Portugal,2017,Solid fossil fuels,3227.148
Portugal,2018,Solid fossil fuels,2696.205
Portugal,2019,Solid fossil fuels,1248.145
Portugal,2020,Solid fossil fuels,565.735
Portugal,2021,Solid fossil fuels,195.598
Portugal,2022,Solid fossil fuels,6.796
Romania,2011,Solid fossil fuels,8092.644
Romania,2012,Solid fossil fuels,7560.015
Romania,2013,Solid fossil fuels,5708.308
Romania,2014,Solid fossil fuels,5727.532
Romania,2015,Solid fossil fuels,5892.232
Romania,2016,Solid fossil fuels,5277.933
Romania,2017,Solid fossil fuels,5388.666
Romania,2018,Solid fossil fuels,5046.953
Romania,2019,Solid fossil fuels,4893.433
Romania,2020,Solid fossil fuels,3481.925
Romania,2021,Solid fossil fuels,4044.579
Romania,2022,Solid fossil fuels,3513.394
Serbia,2011,Solid fossil fuels,8758.448
Serbia,2012,Solid fossil fuels,7621.410
Serbia,2013,Solid fossil fuels,7909.813
Serbia,2014,Solid fossil fuels,6261.011
Serbia,2015,Solid fossil fuels,7739.946
Serbia,2016,Solid fossil fuels,7917.648
Serbia,2017,Solid fossil fuels,7872.652
Serbia,2018,Solid fossil fuels,7548.933
Serbia,2019,Solid fossil fuels,7503.656
Serbia,2020,Solid fossil fuels,7902.413
Serbia,2021,Solid fossil fuels,6986.368
Serbia,2022,Solid fossil fuels,6886.464
Sweden,2011,Solid fossil fuels,2159.931
Sweden,2012,Solid fossil fuels,1940.820
Sweden,2013,Solid fossil fuels,1986.522
Sweden,2014,Solid fossil fuels,1932.970
Sweden,2015,Solid fossil fuels,1980.216
Sweden,2016,Solid fossil fuels,1906.102
Sweden,2017,Solid fossil fuels,1910.165
Sweden,2018,Solid fossil fuels,2006.103
Sweden,2019,Solid fossil fuels,1857.815
Sweden,2020,Solid fossil fuels,1503.879
Sweden,2021,Solid fossil fuels,1658.615
Sweden,2022,Solid fossil fuels,1482.177
Slovenia,2011,Solid fossil fuels,1464.658
Slovenia,2012,Solid fossil fuels,1392.884
Slovenia,2013,Solid fossil fuels,1351.998
Slovenia,2014,Solid fossil fuels,1048.665
Slovenia,2015,Solid fossil fuels,1067.887
Slovenia,2016,Solid fossil fuels,1147.378
Slovenia,2017,Solid fossil fuels,1140.425
Slovenia,2018,Solid fossil fuels,1131.466
Slovenia,2019,Solid fossil fuels,1066.221
Slovenia,2020,Solid fossil fuels,1020.145
Slovenia,2021,Solid fossil fuels,935.215
Slovenia,2022,Solid fossil fuels,747.942
Slovakia,2011,Solid fossil fuels,3703.541
Slovakia,2012,Solid fossil fuels,3476.952
Slovakia,2013,Solid fossil fuels,3450.677
Slovakia,2014,Solid fossil fuels,3424.027
Slovakia,2015,Solid fossil fuels,3279.036
Slovakia,2016,Solid fossil fuels,3222.080
Slovakia,2017,Solid fossil fuels,3376.789
Slovakia,2018,Solid fossil fuels,3339.007
Slovakia,2019,Solid fossil fuels,2729.946
Slovakia,2020,Solid fossil fuels,2304.985
Slovakia,2021,Solid fossil fuels,2823.248
Slovakia,2022,Solid fossil fuels,2402.819
Türkiye,2011,Solid fossil fuels,33100.442
Türkiye,2012,Solid fossil fuels,34668.155
Türkiye,2013,Solid fossil fuels,29819.980
Türkiye,2014,Solid fossil fuels,33884.132
Türkiye,2015,Solid fossil fuels,34597.909
Türkiye,2016,Solid fossil fuels,37870.214
Türkiye,2017,Solid fossil fuels,40091.015
Türkiye,2018,Solid fossil fuels,40824.691
Türkiye,2019,Solid fossil fuels,41823.118
Türkiye,2020,Solid fossil fuels,39694.515
Türkiye,2021,Solid fossil fuels,41397.682
Türkiye,2022,Solid fossil fuels,50605.153
Ukraine,2011,Solid fossil fuels,41382.985
Ukraine,2012,Solid fossil fuels,42448.739
Ukraine,2013,Solid fossil fuels,41508.770
Ukraine,2014,Solid fossil fuels,35508.976
Ukraine,2015,Solid fossil fuels,29994.798
Ukraine,2016,Solid fossil fuels,29588.829
Ukraine,2017,Solid fossil fuels,25636.938
Ukraine,2018,Solid fossil fuels,27957.212
Ukraine,2019,Solid fossil fuels,25985.907
Ukraine,2020,Solid fossil fuels,22780.559
United Kingdom,2011,Solid fossil fuels,30888.983
United Kingdom,2012,Solid fossil fuels,39325.920
United Kingdom,2013,Solid fossil fuels,36933.112
United Kingdom,2014,Solid fossil fuels,29588.080
United Kingdom,2015,Solid fossil fuels,24669.916
United Kingdom,2016,Solid fossil fuels,12636.952
United Kingdom,2017,Solid fossil fuels,10145.578
United Kingdom,2018,Solid fossil fuels,8190.303
United Kingdom,2019,Solid fossil fuels,5872.590
Kosovo*,2011,Solid fossil fuels,1622.899
Kosovo*,2012,Solid fossil fuels,1532.123
Kosovo*,2013,Solid fossil fuels,1555.560
Kosovo*,2014,Solid fossil fuels,1355.198
Kosovo*,2015,Solid fossil fuels,1557.613
Kosovo*,2016,Solid fossil fuels,1687.894
Kosovo*,2017,Solid fossil fuels,1418.006
Kosovo*,2018,Solid fossil fuels,1434.162
Kosovo*,2019,Solid fossil fuels,1504.638
Kosovo*,2020,Solid fossil fuels,1543.645
Kosovo*,2021,Solid fossil fuels,1567.063
Kosovo*,2022,Solid fossil fuels,1532.954
Albania,2011,Electricity,280.482
Albania,2012,Electricity,218.229
Albania,2013,Electricity,199.742
Albania,2014,Electricity,263.715
Albania,2015,Electricity,120.292
Albania,2016,Electricity,-3.611
Albania,2017,Electricity,250.613
Albania,2018,Electricity,-78.530
Albania,2019,Electricity,206.882
Albania,2020,Electricity,195.667
Albania,2021,Electricity,-47.120
Albania,2022,Electricity,79.192
Austria,2011,Electricity,705.018
Austria,2012,Electricity,241.012
Austria,2013,Electricity,625.147
Austria,2014,Electricity,797.483
Austria,2015,Electricity,865.135
Austria,2016,Electricity,615.587
Austria,2017,Electricity,562.847
Austria,2018,Electricity,769.287
Austria,2019,Electricity,269.010
Austria,2020,Electricity,188.806
Austria,2021,Electricity,648.595
Austria,2022,Electricity,748.481
Bosnia and Herzegovina,2014,Electricity,-243.852
Bosnia and Herzegovina,2015,Electricity,-183.577
Bosnia and Herzegovina,2016,Electricity,-323.044
Bosnia and Herzegovina,2017,Electricity,-158.298
Bosnia and Herzegovina,2018,Electricity,-396.045
Bosnia and Herzegovina,2019,Electricity,-321.582
Bosnia and Herzegovina,2020,Electricity,-348.323
Bosnia and Herzegovina,2021,Electricity,-408.856
Bosnia and Herzegovina,2022,Electricity,-260.361
Belgium,2011,Electricity,218.143
Belgium,2012,Electricity,854.342
Belgium,2013,Electricity,828.891
Belgium,2014,Electricity,1513.586
Belgium,2015,Electricity,1805.589
Belgium,2016,Electricity,531.642
Belgium,2017,Electricity,517.764
Belgium,2018,Electricity,1489.897
Belgium,2019,Electricity,-159.467
Belgium,2020,Electricity,-28.624
Belgium,2021,Electricity,-677.257
Belgium,2022,Electricity,-647.248
Bulgaria,2011,Electricity,-916.681
Bulgaria,2012,Electricity,-714.359
Bulgaria,2013,Electricity,-531.470
Bulgaria,2014,Electricity,-812.984
Bulgaria,2015,Electricity,-909.286
Bulgaria,2016,Electricity,-547.893
Bulgaria,2017,Electricity,-471.227
Bulgaria,2018,Electricity,-671.309
Bulgaria,2019,Electricity,-499.586
Bulgaria,2020,Electricity,-293.044
Bulgaria,2021,Electricity,-754.799
Bulgaria,2022,Electricity,-1048.549
Cyprus,2011,Electricity,0.000
Cyprus,2012,Electricity,0.000
Cyprus,2013,Electricity,0.000
Cyprus,2014,Electricity,0.000
Cyprus,2015,Electricity,0.000
Cyprus,2016,Electricity,0.000
Cyprus,2017,Electricity,0.000
Cyprus,2018,Electricity,0.000
Cyprus,2019,Electricity,0.000
Cyprus,2020,Electricity,0.000
Cyprus,2021,Electricity,0.000
Cyprus,2022,Electricity,0.000
Czechia,2011,Electricity,-1465.520
Czechia,2012,Electricity,-1472.055
Czechia,2013,Electricity,-1452.021
Czechia,2014,Electricity,-1401.548
Czechia,2015,Electricity,-1076.096
Czechia,2016,Electricity,-943.594
Czechia,2017,Electricity,-1120.975
Czechia,2018,Electricity,-1195.795
Czechia,2019,Electricity,-1126.105
Czechia,2020,Electricity,-872.989
Czechia,2021,Electricity,-952.301
Czechia,2022,Electricity,-1163.271
Germany,2011,Electricity,-323.732
Germany,2012,Electricity,-1766.294
Germany,2013,Electricity,-2768.100
Germany,2014,Electricity,-2913.586
Germany,2015,Electricity,-4151.505
Germany,2016,Electricity,-4344.368
Germany,2017,Electricity,-4510.662
Germany,2018,Electricity,-4190.542
Germany,2019,Electricity,-2808.856
Germany,2020,Electricity,-1636.199
Germany,2021,Electricity,-1597.163
Germany,2022,Electricity,-2343.594
Denmark,2011,Electricity,113.500
Denmark,2012,Electricity,448.323
Denmark,2013,Electricity,93.035
Denmark,2014,Electricity,245.486
Denmark,2015,Electricity,508.303
Denmark,2016,Electricity,434.832
Denmark,2017,Electricity,392.323
Denmark,2018,Electricity,449.213
Denmark,2019,Electricity,499.644
Denmark,2020,Electricity,591.795
Denmark,2021,Electricity,418.645
Denmark,2022,Electricity,117.170
Estonia,2011,Electricity,-306.277
Estonia,2012,Electricity,-192.605
Estonia,2013,Electricity,-308.512
Estonia,2014,Electricity,-236.801
Estonia,2015,Electricity,-79.536
Estonia,2016,Electricity,-175.150
Estonia,2017,Electricity,-235.082
Estonia,2018,Electricity,-163.113
Estonia,2019,Electricity,185.469
Estonia,2020,Electricity,313.328
Estonia,2021,Electricity,226.056
Estonia,2022,Electricity,86.930
Greece,2011,Electricity,277.902
Greece,2012,Electricity,153.482
Greece,2013,Electricity,162.253
Greece,2014,Electricity,758.298
Greece,2015,Electricity,826.139
Greece,2016,Electricity,756.320
Greece,2017,Electricity,536.285
Greece,2018,Electricity,539.811
Greece,2019,Electricity,855.030
Greece,2020,Electricity,762.167
Greece,2021,Electricity,316.767
Greece,2022,Electricity,296.389
Spain,2011,Electricity,-523.732
Spain,2012,Electricity,-962.941
Spain,2013,Electricity,-580.482
Spain,2014,Electricity,-292.863
Spain,2015,Electricity,-11.436
Spain,2016,Electricity,659.243
Spain,2017,Electricity,788.392
Spain,2018,Electricity,954.600
Spain,2019,Electricity,590.054
Spain,2020,Electricity,281.993
Spain,2021,Electricity,73.297
Spain,2022,Electricity,-1702.639
Finland,2011,Electricity,1191.058
Finland,2012,Electricity,1499.914
Finland,2013,Electricity,1351.247
Finland,2014,Electricity,1544.884
Finland,2015,Electricity,1404.729
Finland,2016,Electricity,1629.493
Finland,2017,Electricity,1756.234
Finland,2018,Electricity,1714.187
Finland,2019,Electricity,1723.302
Finland,2020,Electricity,1298.710
Finland,2021,Electricity,1527.773
Finland,2022,Electricity,1076.268
France,2011,Electricity,-4850.645
France,2012,Electricity,-3828.117
France,2013,Electricity,-4166.896
France,2014,Electricity,-5777.300
France,2015,Electricity,-5508.426
France,2016,Electricity,-3568.444
France,2017,Electricity,-3450.461
France,2018,Electricity,-5414.161
France,2019,Electricity,-4958.474
France,2020,Electricity,-3872.674
France,2021,Electricity,-3860.039
France,2022,Electricity,1284.998
Georgia,2013,Electricity,2.923
Georgia,2014,Electricity,21.410
Georgia,2015,Electricity,3.353
Georgia,2016,Electricity,-6.879
Georgia,2017,Electricity,69.776
Georgia,2018,Electricity,79.123
Georgia,2019,Electricity,118.925
Georgia,2020,Electricity,125.219
Georgia,2021,Electricity,138.882
Georgia,2022,Electricity,48.332
Croatia,2011,Electricity,615.219
Croatia,2012,Electricity,638.951
Croatia,2013,Electricity,332.674
Croatia,2014,Electricity,339.897
Croatia,2015,Electricity,583.749
Croatia,2016,Electricity,475.580
Croatia,2017,Electricity,597.911
Croatia,2018,Electricity,463.250
